Date,open,high,low,close,volume,dividends,stock splits,symbol,rsi,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,sma_20,sma_50,sma_200,ema_12,ema_26,atr,date,year,month,day,day_of_week,daily_return,volume_sma_20,volume_above_avg
2024-03-25 00:00:00-04:00,503.95154029526157,505.3763351694112,498.4216954406482,501.19158935546875,8380600,0.0,0.0,META,,,,,,,,,,,,,,,,2024-03-25,2024,3,25,0,,,False
2024-03-26 00:00:00-04:00,503.2939285876756,508.1462219597566,493.40997300906133,494.0875244140625,11205400,0.0,0.0,META,,,,,,,,,,,,,,,,2024-03-26,2024,3,26,1,-1.4174349873951497,,False
2024-03-27 00:00:00-04:00,497.48510924151634,498.07299144024375,486.29594802208385,492.06488037109375,9989700,0.0,0.0,META,,,,,,,,,,,,,,,,2024-03-27,2024,3,27,2,-0.40936958393503753,,False
2024-03-28 00:00:00-04:00,491.04859257964944,491.0984290807041,483.38654221067395,483.8149719238281,15212800,0.0,0.0,META,,,,,,,,,,,,,,,,2024-03-28,2024,3,28,3,-1.6765895670188713,,False
2024-04-01 00:00:00-04:00,485.4290862996602,495.62188175816783,480.0287741074697,489.5639953613281,9247000,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-01,2024,4,1,0,1.188269022481836,,False
2024-04-02 00:00:00-04:00,483.3367442463119,495.72155586314705,482.8883677625335,495.5621337890625,11081000,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-02,2024,4,2,1,1.2252000728336654,,False
2024-04-03 00:00:00-04:00,497.1164618244484,505.3962538689054,496.9371233933013,504.8980712890625,12099200,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-03,2024,4,3,2,1.8839085683600487,,False
2024-04-04 00:00:00-04:00,514.5428746566774,528.0735304456318,508.7241058190558,509.0628967285156,26476300,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-04,2024,4,4,3,0.8248844026715885,,False
2024-04-05 00:00:00-04:00,514.9812697911904,528.7709900364625,512.5401630444132,525.4232177734375,19242000,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-05,2024,4,5,4,3.2138113286317216,,False
2024-04-08 00:00:00-04:00,527.3561816187679,529.5581097041235,517.0039330005043,517.3626098632812,13260600,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-08,2024,4,8,0,-1.5341171911500862,,False
2024-04-09 00:00:00-04:00,520.3317000897688,523.9584834633949,504.8980152105673,515.0211181640625,10881400,0.0,0.0,META,,,,,,,,,,,,,,,,2024-04-09,2024,4,9,1,-0.452582319359629,,False
2024-04-10 00:00:00-04:00,507.4389135737479,520.6606707165434,503.96157785341694,517.9406127929688,11418500,0.0,0.0,META,,,,,,,,,,,,,503.83280181884766,,,2024-04-10,2024,4,10,2,0.5668689158443874,,False
2024-04-11 00:00:00-04:00,519.2158862304884,521.9558906964756,515.4097636383199,521.2584228515625,10369500,0.0,0.0,META,,,,,,,,,,,,,506.51366659311145,,,2024-04-11,2024,4,11,3,0.6405773126580305,,False
2024-04-12 00:00:00-04:00,515.8680487630246,518.2991821255071,507.4786409454992,510.039306640625,11944900,0.0,0.0,META,,,,,,,,,,,,,507.05607275426735,,,2024-04-12,2024,4,12,4,-2.1523136546289123,,False
2024-04-15 00:00:00-04:00,514.8417956512984,516.6452750395099,495.47248418641453,498.4117736816406,13512900,0.0,0.0,META,44.36749865234832,,,,,,,,,,,,505.72618058924786,,15.046256291162864,2024-04-15,2024,4,15,0,-2.279732720124872,,False
