Date,open,high,low,close,volume,dividends,stock splits,symbol,rsi,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,sma_20,sma_50,sma_200,ema_12,ema_26,atr,date,year,month,day,day_of_week,daily_return,volume_sma_20,volume_above_avg
2024-03-25 00:00:00-04:00,149.22655548099812,149.6644642956251,147.11664775908744,149.35594177246094,19229300,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-03-25,2024,3,25,0,,,False
2024-03-26 00:00:00-04:00,149.505223453737,151.53551003081748,149.26635995623974,149.9530792236328,22149100,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-03-26,2024,3,26,1,0.3998082996132801,,False
2024-03-27 00:00:00-04:00,150.46063737451573,150.91845525200065,148.19148744617945,150.15211486816406,22879200,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-03-27,2024,3,27,2,0.1327319489281109,,False
2024-03-28 00:00:00-04:00,150.13223178829975,150.70945866916398,149.45545946665504,150.2118377685547,24485400,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-03-28,2024,3,28,3,0.039774931204306085,,False
2024-04-01 00:00:00-04:00,149.97297413405437,154.99894775398752,149.89335297574888,154.75013732910156,31730800,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-01,2024,4,1,0,3.021266251691457,,False
2024-04-02 00:00:00-04:00,152.7696158272029,153.96390294626983,151.4260333268872,153.82456970214844,24586000,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-02,2024,4,2,1,-0.5981045593418499,,False
2024-04-03 00:00:00-04:00,152.8691500191665,154.34210366441846,152.00327930693646,154.182861328125,24705000,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-03,2024,4,3,2,0.232922235160693,,False
2024-04-04 00:00:00-04:00,152.7696206660751,154.03358204033015,149.73413005208545,149.81375122070312,34724700,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-04,2024,4,4,3,-2.8337196947744614,,False
2024-04-05 00:00:00-04:00,149.31611992588236,152.6899888823038,148.8881732587718,151.7743682861328,23449300,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-05,2024,4,5,4,1.3087030058684945,,False
2024-04-08 00:00:00-04:00,152.0530320036405,154.53118940622207,151.88384272998078,154.11318969726562,20702000,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-08,2024,4,8,0,1.5409857656093484,,False
2024-04-09 00:00:00-04:00,155.3472906145229,157.80553910227465,154.4515790592109,155.85487365722656,31113000,0.0,0.0,GOOGL,,,,,,,,,,,,,,,,2024-04-09,2024,4,9,1,1.1301329648566893,,False
2024-04-10 00:00:00-04:00,155.46670789764931,155.86479849103546,153.94397417179965,155.39703369140625,22838600,0.0,0.0,GOOGL,,,,,,,,,,,,,152.44864654541016,,,2024-04-10,2024,4,10,2,-0.29376044205536855,,False
2024-04-11 00:00:00-04:00,156.16338491032602,158.92019359328873,155.7155291650152,158.6514892578125,27166400,0.0,0.0,GOOGL,,,,,,,,,,,,,153.4029300396259,,,2024-04-11,2024,4,11,3,2.0942842273740547,,False
2024-04-12 00:00:00-04:00,157.20840874623565,159.4576498521726,156.39230314278245,156.9794921875,25329200,0.0,0.0,GOOGL,,,,,,,,,,,,,153.95317037006805,,,2024-04-12,2024,4,12,4,-1.0538804760889864,,False
2024-04-15 00:00:00-04:00,158.1041210913814,158.48231785442226,153.85443413456358,154.12315368652344,27136500,0.0,0.0,GOOGL,55.18891929554653,,,,,,,,,,,,153.97932164952275,,3.29199848128237,2024-04-15,2024,4,15,0,-1.819561562579708,,False
2024-04-16 00:00:00-04:00,153.45633670421336,154.9093812386726,152.6999432114734,153.6653289794922,20779500,0.0,0.0,GOOGL,53.67839580755461,,,,,,,,,,,,153.93101508490267,,3.176754513808005,2024-04-16,2024,4,16,1,-0.2970512191584396,,False
2024-04-17 00:00:00-04:00,154.8795200598381,156.33257973226392,153.84447529646815,154.73023986816406,21763100,0.0,0.0,GOOGL,56.65046400809902,,,,,,,,,,,,154.05397274386596,,3.124350807978033,2024-04-17,2024,4,17,2,0.6930066110189426,,False
2024-04-18 00:00:00-04:00,154.600844292543,156.19323711028636,153.88426904317683,155.2676544189453,19883000,0.0,0.0,GOOGL,58.11114216620624,,,,,,,,,,,,154.24069300157046,,3.0430417475941374,2024-04-18,2024,4,18,3,0.347323542727751,,False
2024-04-19 00:00:00-04:00,155.45677241386718,155.6160147529958,151.57533531126506,153.3568115234375,32239100,0.0,0.0,GOOGL,51.4702476198248,,,,,,,,,,,,154.10471123570386,,3.139788084762634,2024-04-19,2024,4,19,4,-1.2306767321620948,,False
2024-04-22 00:00:00-04:00,153.5757645889644,156.88992171020138,153.32695413108942,155.53639221191406,26446200,0.0,0.0,GOOGL,57.44416173733622,148.53065990142997,153.58471603393554,158.6387721664411,6.581457143676769,0.6930801841936585,,,,153.58471603393554,,,154.3249698474285,,3.179803819120976,2024-04-22,2024,4,22,0,1.4212480468423605,25166770.0,True
2024-04-23 00:00:00-04:00,156.21315584791824,158.21358635071638,155.53638354340058,157.5069580078125,21151600,0.0,0.0,GOOGL,61.99877183433463,149.0547185873816,153.9922668457031,158.92981510402464,6.412722352179987,0.8559146137139906,,,,153.9922668457031,,,154.81450648748756,,3.1333524811213245,2024-04-23,2024,4,23,1,1.2669483764375933,25262885.0,False
2024-04-24 00:00:00-04:00,156.74063729958468,158.8107420758396,156.42215263269097,158.37283325195312,22779100,0.0,0.0,GOOGL,63.830590739578504,149.48930031267142,154.41325454711915,159.3372087815669,6.37763156911532,0.9020730612332829,,,,154.41325454711915,,,155.3619413743284,,3.065935378788986,2024-04-24,2024,4,24,2,0.549737773551362,25294385.0,False
2024-04-25 00:00:00-04:00,150.60994355919925,155.74539489675468,150.15212564884374,155.25772094726562,57109700,0.0,0.0,GOOGL,53.78551328015164,150.14130439569993,154.6685348510742,159.1957653064485,5.8541066025270325,0.5650713611775593,,,,154.6685348510742,,,155.34590746247258,,3.5238111244560204,2024-04-25,2024,4,25,3,-1.9669486494137023,27005910.0,True
